Country Name;World Rank;2023 Score;Property Rights;Judical Effectiveness;Govt Integrity;Tax Burden;Gov Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom ;Financial Freedom
Albania;49;65.3;55.9;49.2;35.5;89.1;71.0;58.2;70.7;49.7;81.3;82.8;70;70
Algeria;168;43.2;27.8;29.5;28.4;71.9;50.7;12.1;53.6;51.4;75.1;57.5;30;30
Angola;130;53.0;41.1;24.8;22.9;86.5;86.9;85.1;41.6;53.9;58.9;64.8;30;40
Argentina;144;51.0;34.6;56.8;42.8;66.9;53.9;33.6;55.5;55.1;36.5;61.2;55;60
Armenia;50;65.1;50.3;31.5;51.6;87.5;76.3;71.4;64.9;58.7;70.5;73.6;75;70
Australia;13;74.8;90.7;94.9;83.2;63.1;47.0;24.8;88.3;64.7;80.5;89.8;80;90
Austria;23;71.1;97.0;95.2;80.9;45.7;13.0;54.5;78.5;78.8;80.4;78.6;80;70
Azerbaijan;75;61.4;51.7;15.9;26.9;87.3;63.0;98.6;68.3;55.8;70.3;68.6;70;60
Bahrain;68;62.5;65.4;28.1;40.4;99.9;66.3;0.0;64.0;53.6;83.5;84.2;85;80
Bangladesh;123;54.4;36.8;28.0;22.5;82.1;94.7;63.4;56.7;46.8;70.1;62.0;50;40
Barbados;29;69.8;71.9;86.9;68.4;79.2;69.7;73.9;68.5;62.6;78.8;57.6;60;60
Belarus;145;51.0;31.2;11.1;38.9;89.9;57.8;94.3;53.7;47.1;66.9;70.8;30;20
Belgium;43;67.1;92.0;91.4;81.3;50.2;8.1;31.5;79.0;57.8;80.3;78.6;85;70
Belize;85;59.8;34.1;71.0;41.7;80.7;76.6;60.4;59.0;60.7;75.6;52.2;55;50
Benin;84;59.8;43.2;48.2;43.6;69.6;90.4;73.8;47.0;60.0;81.1;60.8;50;50
Bhutan;90;59.0;66.9;61.6;72.3;84.0;72.2;78.7;63.0;56.6;65.6;37.6;20;30
Bolivia;167;43.4;21.1;28.4;27.7;87.1;60.8;7.0;55.1;44.9;74.0;60.0;15;40
Bosnia and Herzegovina;63;62.9;48.2;34.3;33.1;93.2;46.6;96.3;67.0;60.6;81.9;68.0;65;60
Botswana;52;64.9;72.8;68.2;58.6;87.3;61.1;19.2;65.2;62.3;70.6;78.6;65;70
Brazil;127;53.5;49.7;55.3;39.1;70.9;55.0;2.7;63.6;57.0;73.7;65.0;60;50
Brunei Darussalam;48;65.7;69.1;51.9;61.9;96.3;70.0;20.0;72.4;75.2;71.8;84.4;65;50
Bulgaria;32;69.3;75.3;57.1;43.9;93.7;56.5;90.5;71.8;63.8;80.2;78.6;60;60
