Country Name;World Rank;2023 Score;Property Rights;Judical Effectiveness;Govt Integrity;Tax Burden;Gov Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom ;Financial Freedom
Burkina Faso;111;56.2;38.2;36.9;42.7;81.5;80.6;52.0;41.1;61.8;73.5;61.2;65;40
Burma;162;46.5;21.5;9.5;29.3;88.5;86.4;38.8;42.1;45.6;76.4;69.4;30;20
Burundi;170;41.9;19.8;7.6;12.5;76.0;75.6;38.6;30.6;41.8;67.8;52.8;50;30
Cabo Verde;47;65.8;65.0;76.7;60.8;83.2;71.7;22.0;67.5;51.9;82.3;68.0;80;60
Cambodia;110;56.5;40.8;22.3;14.5;87.9;78.7;90.1;54.4;47.9;74.3;66.8;50;50
Cameroon;139;51.9;38.4;10.3;21.1;72.3;91.1;82.1;47.2;46.7;80.3;53.6;30;50
Canada;16;73.7;88.5;95.1;83.1;75.0;35.0;32.2;87.9;69.0;74.8;83.4;80;80
Central African Republic;166;43.8;6.9;4.6;16.9;65.4;87.3;84.2;26.5;39.8;73.5;45.0;45;30
Chad;138;52.0;28.2;14.5;12.6;78.1;91.0;93.7;28.4;53.4;76.8;47.3;60;40
Chile;22;71.1;72.3;88.7;71.8;73.0;73.5;43.8;75.7;59.4;77.4;78.0;70;70
China;154;48.3;45.3;38.2;42.0;69.5;65.1;9.8;68.3;55.2;72.5;73.6;20;20
Colombia;62;63.1;44.9;58.7;41.4;69.0;66.0;38.5;72.2;61.7;78.6;75.8;80;70
Comoros;128;53.5;24.5;21.8;19.5;65.4;88.5;88.5;48.6;55.6;84.9;69.6;45;30
Congo Democratic Republic of the Congo;157;47.9;14.4;12.9;11.8;74.4;95.2;96.0;31.7;54.4;65.8;68.2;30;20
Congo Republic of;156;48.1;30.0;14.5;13.0;75.5;84.7;80.0;32.4;43.6;81.8;56.4;35;30
Costa Rica;45;66.5;66.0;76.7;63.3;79.5;85.9;17.4;73.8;58.1;82.2;74.6;70;50
Cote dIvoire;81;60.4;44.4;29.8;33.6;79.0;88.5;65.3;60.6;56.4;68.3;73.6;75;50
Croatia;46;66.4;79.5;70.0;50.7;81.1;25.1;69.6;72.1;58.3;76.4;78.6;75;60
Cuba;175;24.3;31.7;15.5;36.6;51.9;0.0;0.0;41.1;20.0;15.3;59.6;10;10
Cyprus;18;72.3;83.0;89.7;58.8;80.8;45.8;73.3;74.9;66.5;81.5;78.6;75;60
Czech Republic;21;71.9;88.5;81.9;60.3;79.3;39.5;73.5;76.9;56.1;78.0;78.6;70;80
Denmark;9;77.6;97.5;88.5;100.0;42.1;20.9;97.3;89.0;64.8;82.4;78.6;90;80
Djibouti;112;56.1;31.5;28.2;27.0;83.6;82.2;89.3;48.3;50.8;72.2;49.9;60;50
Dominica;86;59.7;69.1;82.7;57.9;76.4;3.1;56.7;63.8;59.5;82.6;54.8;70;40
Dominican Republic;65;62.6;55.1;56.6;33.2;84.9;89.1;61.9;72.1;53.0;68.8;67.0;70;40
Ecuador;119;55.0;31.6;46.9;36.5;74.8;60.3;66.4;64.0;56.5;82.2;65.6;35;40
Egypt;151;49.6;39.7;22.1;27.9;86.7;79.4;4.1;51.1;33.4;75.0;60.2;65;50
El Salvador;114;56.0;43.0;31.8;34.6;77.2;71.6;35.8;64.7;54.6;70.2;68.6;60;60
Equatorial Guinea;153;48.3;21.6;8.3;8.9;74.5;93.2;96.3;33.5;47.4;77.7;48.7;40;30
Eritrea;171;39.5;9.6;5.2;12.0;80.3;62.3;69.0;31.3;51.2;64.6;68.4;0;20
Estonia;6;78.6;92.1;92.9;83.2;80.1;47.5;89.0;79.4;61.9;78.4;78.6;90;70
Eswatini;120;54.9;45.9;36.6;33.0;78.2;68.5;51.3;49.9;54.9;77.9;72.4;50;40
Ethiopia;155;48.3;30.4;21.2;34.5;77.9;93.7;82.8;39.3;39.1;53.8;56.4;30;20
Fiji;100;58.0;58.1;45.6;55.4;89.3;69.4;6.2;63.0;65.8;79.0;58.8;55;50
Finland;11;77.1;100.0;97.2;97.6;68.7;8.5;76.5;84.9;65.5;82.1;78.6;85;80
France;57;63.6;93.0;83.9;75.5;52.9;0.0;20.0;78.2;59.2;76.9;78.6;75;70
Gabon;113;56.1;27.2;18.2;25.6;77.3;90.4;90.7;50.1;55.4;83.0;55.1;60;40
Georgia;35;68.7;54.3;55.5;62.9;89.1;70.0;43.0;69.8;62.1;72.0;86.0;80;80
Germany;14;73.7;94.8;93.1;89.4;60.2;28.3;82.7;79.7;52.8;75.3;78.6;80;70
Ghana;99;58.0;50.5;57.2;45.3;82.9;81.2;6.5;53.3;55.8;70.3;63.0;70;60
Greece;107;56.9;76.7;69.9;52.9;60.8;9.7;18.1;70.3;60.7;79.6;78.6;55;50
Guatemala;64;62.7;39.2;28.5;24.9;91.7;94.0;85.8;65.8;50.1;77.4;74.6;70;50
Guinea;129;53.2;20.4;26.7;24.1;70.1;92.5;91.7;45.4;50.0;68.2;59.4;50;40
Guinea-Bissau;165;44.6;27.5;14.7;18.7;89.1;84.2;22.2;31.6;56.6;79.9;50.7;30;30
Guyana;105;56.9;46.7;47.1;40.2;73.2;76.0;39.0;67.1;73.8;79.6;55.0;55;30
Haiti;149;49.9;23.2;18.5;15.8;81.7;96.8;90.0;33.4;55.1;58.3;66.5;30;30
Honduras;94;58.7;38.3;29.0;23.4;83.8;77.5;84.4;60.8;38.4;72.0;71.6;65;60
Hungary;54;64.1;69.5;62.5;44.8;84.2;29.8;38.9;73.5;61.3;76.5;78.6;80;70
Iceland;19;72.2;96.8;94.2;83.9;72.9;31.5;28.8;83.3;67.7;77.4;80.4;80;70
India;131;52.9;49.7;53.0;42.2;78.5;73.8;5.8;64.3;58.1;70.0;59.8;40;40
Indonesia;60;63.5;38.5;44.2;39.3;81.9;90.6;66.8;70.6;59.5;81.5;78.8;50;60
Iran;169;42.2;25.0;26.3;19.6;81.1;94.8;58.8;38.9;50.7;40.6;55.8;5;10
Ireland;3;82.0;92.9;93.9;82.8;78.4;80.5;86.8;87.2;61.2;81.5;78.6;90;70
Israel;34;68.9;82.3;82.8;62.7;60.9;49.1;31.1;84.9;56.9;83.0;82.6;80;70
Italy;69;62.3;81.2;77.9;61.1;57.3;13.7;20.4;73.8;70.6;82.6;78.6;80;50
Jamaica;39;68.1;65.8;70.8;48.6;79.8;72.2;82.6;67.7;64.4;75.1;70.0;70;50
Japan;31;69.3;94.1;94.7;80.7;68.1;48.4;18.1;78.3;66.8;87.1;75.2;60;60
Jordan;93;58.8;54.1;42.7;48.3;84.7;70.0;3.1;59.8;57.4;83.6;71.4;70;60
Kazakhstan;71;62.1;54.8;34.4;36.9;93.0;85.1;70.6;64.6;62.7;67.7;74.8;50;50
Kenya;135;52.5;39.7;38.9;30.0;79.0;81.7;10.8;56.0;57.1;74.7;57.2;55;50
Kiribati;92;58.8;76.3;83.7;51.9;69.5;0.0;82.8;61.2;65.5;79.5;80.0;25;30
Kosovo;78;60.7;47.2;31.3;39.3;93.1;70.8;72.6;67.9;53.4;75.0;83.3;65;30
Kuwait;108;56.7;42.5;40.6;43.8;97.7;3.2;80.9;59.1;52.1;69.3;75.6;55;60
Kyrgyz Republic;115;55.8;24.2;13.0;25.2;95.0;66.0;90.1;56.1;52.1;65.4;72.0;60;50
Laos;147;50.3;41.8;11.4;21.0;89.0;90.1;54.6;56.7;44.5;72.3;66.6;35;20
Latvia;17;72.8;87.3;73.0;64.7;76.2;49.0;78.9;78.2;62.6;80.1;78.6;85;60
Lebanon;164;45.6;33.1;25.0;22.6;89.7;80.7;44.1;48.1;53.3;19.5;71.4;30;30
Lesotho;141;51.6;42.4;43.3;41.6;77.3;11.2;70.1;44.0;57.9;74.9;61.2;55;40
Liberia;150;49.6;31.6;23.2;26.1;86.1;68.6;72.6;34.1;43.3;68.3;66.8;55;20
Lithuania;20;72.2;87.7;74.2;68.5;77.7;56.9;68.6;76.0;60.2;78.1;78.6;70;70
Luxembourg;7;78.4;96.8;96.5;89.7;64.8;41.6;80.0;85.5;56.8;75.1;78.6;95;80
Madagascar;91;58.9;41.7;34.4;23.8;90.7;93.0;82.3;38.5;56.2;75.3;65.8;55;50
Malawi;133;52.8;48.4;52.7;36.6;71.6;85.2;11.8;34.1;56.9;70.8;65.6;50;50
Malaysia;42;67.3;65.4;57.6;51.6;83.9;82.4;64.5;70.3;58.0;81.1;83.0;60;50
Maldives;160;46.6;48.2;33.4;38.8;91.9;48.4;0.0;44.8;50.0;79.9;58.6;35;30
Mali;122;54.5;32.6;33.4;26.9;68.9;80.5;68.7;40.5;54.4;79.2;64.0;65;40
Malta;41;67.5;86.9;90.8;57.4;69.9;45.9;43.5;75.5;62.7;79.3;78.6;70;50
Mauritania;117;55.3;36.4;27.7;24.2;75.8;90.0;94.7;35.3;49.3;78.6;62.0;50;40
Mauritius;26;70.6;87.0;81.4;58.2;91.0;70.2;2.5;76.0;69.1;73.4;87.8;80;70
Mexico;61;63.2;47.8;40.0;30.8;75.5;77.8;73.6;72.4;57.7;70.9;76.8;75;60
Micronesia;66;62.6;57.7;84.7;62.4;91.0;0.0;99.5;52.5;82.0;81.5;74.8;35;30
Moldova;96;58.5;37.9;29.8;35.6;93.4;64.4;82.1;60.2;46.6;71.2;75.6;55;50
Mongolia;73;61.7;48.7;55.8;37.2;88.2;64.1;64.3;66.4;67.5;74.1;74.2;50;50
Montenegro;77;60.9;59.7;41.2;47.0;88.2;31.7;48.1;67.3;61.6;81.8;79.2;75;50
Morocco;97;58.4;57.1;32.8;38.7;67.9;72.0;41.3;65.3;47.6;78.3;64.4;65;70
Mozambique;134;52.5;31.2;44.6;27.1;75.3;70.6;65.9;36.1;47.8;76.1;70.8;35;50
Namibia;102;57.7;64.0;67.2;52.5;72.0;53.0;9.6;56.0;63.3;78.5;71.8;65;40
Nepal;142;51.4;37.6;43.4;34.0;85.0;77.2;58.9;60.1;51.5;71.8;57.8;10;30
Netherlands;8;78.0;95.6;96.6;91.0;51.0;37.9;90.8;84.4;59.3;80.2;78.6;90;80
New Zealand;5;78.9;87.8;94.7;96.8;66.6;49.7;72.2;88.8;71.5;78.7;90.4;70;80
Nicaragua;121;54.9;29.7;20.4;17.6;75.6;74.4;92.0;53.9;47.0;71.3;66.4;60;50
Niger;126;53.7;36.8;37.2;32.1;77.7;84.3;55.9;34.5;54.1;73.2;63.0;55;40
Nigeria;124;53.9;24.0;33.8;22.5;84.9;95.2;50.0;44.3;73.6;65.0;68.0;45;40
North Korea;176;2.9;16.6;6.3;1.6;0.0;0.0;0.0;5.0;5.0;0.0;0.0;0;0
North Macedonia;56;63.7;58.9;50.5;40.1;95.0;63.9;51.4;74.1;52.7;75.0;77.8;65;60
Norway;12;76.9;98.9;97.2;96.2;57.4;18.7;96.2;95.2;69.2;74.4;84.6;75;60
Oman;95;58.5;75.2;26.1;49.2;97.6;50.7;12.1;61.8;45.7;82.9;76.2;65;60
Pakistan;152;49.4;29.0;29.6;26.8;78.3;88.9;11.4;45.9;51.6;65.8;65.8;60;40
Panama;55;63.8;56.8;51.5;38.7;85.6;81.1;19.1;71.1;61.0;77.3;78.5;75;70
Papua New Guinea;140;51.7;43.6;44.1;32.0;72.0;86.0;26.4;46.7;65.2;71.5;77.7;25;30
Paraguay;76;61.0;46.8;37.9;30.1;96.2;81.7;45.4;69.5;39.5;72.6;77.2;75;60
Peru;44;66.5;51.4;48.2;38.5;80.0;83.3;70.8;72.8;58.3;78.5;81.2;75;60
Philippines;89;59.3;46.4;25.8;34.4;78.3;81.3;59.4;66.1;57.5;68.3;74.4;60;60
Poland;40;67.7;72.7;52.7;60.2;73.2;40.0;78.1;74.8;55.4;76.7;78.6;80;70
Portugal;30;69.5;89.9;90.7;67.0;60.5;34.7;67.0;76.2;55.1;84.8;78.6;70;60
Qatar;36;68.6;71.2;39.8;58.3;99.7;68.9;93.2;62.4;52.6;75.6;81.6;60;60
Romania;53;64.5;81.0;64.9;47.2;94.4;59.7;14.7;71.3;65.1;76.8;78.6;70;50
Russia;125;53.8;30.6;32.9;28.0;88.3;60.4;99.1;54.8;57.7;64.9;69.4;30;30
Rwanda;137;52.2;61.1;27.3;52.7;78.9;71.1;11.1;51.8;42.8;79.7;50.0;60;40
Saint Lucia;79;60.7;68.6;77.3;58.9;77.8;73.4;3.0;69.6;57.3;80.9;56.6;65;40
Saint Vincent and the Grenadines;59;63.5;67.1;77.3;62.8;75.5;65.7;43.2;61.8;58.5;82.9;57.6;70;40
Samoa;38;68.3;76.3;79.7;58.6;79.2;68.6;95.7;62.0;71.3;79.9;67.8;50;30
Sao Tome and Principe;74;61.5;52.1;61.8;47.6;88.0;83.0;89.5;52.6;41.7;66.5;65.0;60;30
Saudi Arabia;98;58.3;47.3;34.4;49.6;99.4;60.3;41.3;71.8;42.5;78.9;74.2;50;50
Senegal;103;57.7;56.6;49.8;46.2;69.8;80.5;40.6;53.5;54.0;75.7;65.4;60;40
Serbia;58;63.5;58.7;50.0;37.8;87.9;37.6;73.5;74.3;68.1;78.6;76.0;70;50
Seychelles;87;59.5;79.7;63.6;71.5;75.1;47.8;9.4;65.9;62.3;73.3;80.6;55;30
Sierra Leone;148;50.2;34.4;42.8;34.4;87.2;81.1;40.8;34.6;38.3;67.6;61.5;60;20
Singapore;1;83.9;94.0;58.3;91.2;90.6;89.0;78.0;86.9;77.3;81.9;95.0;85;80
Slovakia;33;69.0;84.2;70.6;56.8;77.3;41.2;62.4;72.2;64.7;74.8;78.6;75;70
Slovenia;37;68.5;88.6;83.3;64.6;62.6;31.5;60.4;75.9;74.4;82.4;78.6;70;50
Solomon Islands;106;56.9;52.5;60.8;44.8;71.5;62.4;86.9;45.0;60.9;83.8;68.6;15;30
South Africa;116;55.7;42.5;59.1;48.0;65.6;67.3;5.9;64.5;71.6;77.0;72.4;45;50
South Korea ;15;73.7;88.5;76.8;68.7;60.1;82.0;94.1;84.8;56.2;81.4;72.2;60;60
Spain;51;65.0;87.2;73.1;66.9;58.2;30.2;7.4;75.2;62.1;80.6;83.6;85;70
Sri Lanka;136;52.2;51.6;49.7;39.5;90.3;88.0;0.0;54.4;55.8;70.2;67.2;30;30
Sudan;173;32.8;22.6;5.9;15.7;85.2;94.9;28.5;25.4;42.0;0.0;48.0;5;20
Suriname;163;46.1;41.9;46.2;38.6;70.8;61.4;0.0;52.8;64.4;46.0;60.6;40;30
Sweden;10;77.5;96.6;95.6;95.7;45.1;26.2;96.2;84.6;65.9;80.9;78.6;85;80
Switzerland;2;83.8;94.2;97.8;92.3;70.6;63.9;95.4;84.3;60.5;85.1;86.6;85;90
Taiwan ;4;80.7;81.9;94.7;76.3;79.3;91.1;93.6;84.3;69.1;82.5;85.8;70;60
Tajikistan;146;50.6;29.2;11.7;17.7;92.0;75.2;87.2;56.8;43.6;66.3;72.2;25;30
Tanzania;83;60.0;44.8;28.3;37.4;80.6;91.3;86.5;50.1;62.4;73.0;60.6;55;50
Thailand;80;60.6;44.2;35.1;37.7;81.0;81.5;65.2;66.6;56.6;73.4;70.8;55;60
The Bahamas;67;62.6;60.5;78.3;65.7;96.5;79.3;0.0;67.0;68.6;75.7;49.6;50;60
The Gambia;101;57.9;47.2;36.4;36.9;79.3;83.5;70.4;50.5;47.4;63.3;64.4;65;50
Timor-Leste;159;47.2;38.2;36.3;40.1;97.5;0.0;19.8;58.4;56.5;74.6;79.9;45;20
Togo;118;55.3;35.8;36.8;30.1;70.2;87.1;69.4;51.2;51.9;73.4;67.2;60;30
Tonga;82;60.0;64.6;68.8;43.2;85.4;46.5;95.5;55.7;56.1;72.7;71.9;40;20
Trinidad and Tobago;88;59.5;58.1;59.9;45.2;80.3;68.5;12.7;64.5;64.8;83.0;66.9;60;50
Tunisia;132;52.9;61.8;49.0;46.7;73.7;68.4;13.7;54.4;55.8;74.8;66.3;40;30
Turkey;104;56.9;40.8;24.2;37.1;73.0;66.1;63.0;59.7;54.9;58.6;75.8;70;60
Turkmenistan;161;46.5;19.1;9.7;8.1;94.3;96.2;99.8;37.3;31.4;67.8;74.2;10;10
Uganda;143;51.4;47.7;29.2;24.3;73.5;87.4;23.3;46.1;54.7;80.3;55.4;55;40
United Arab Emirates;24;70.9;65.4;34.5;68.8;100.0;71.6;96.4;77.0;64.5;84.3;78.0;50;60
United Kingdom;28;69.9;95.1;84.8;86.4;65.4;41.9;1.8;79.1;62.2;80.8;81.8;80;80
United States;25;70.6;94.7;76.1;73.4;75.4;49.3;0.0;83.8;76.3;78.0;75.4;85;80
Uruguay;27;70.2;84.3;80.6;77.3;73.7;70.1;73.3;80.1;60.8;71.8;70.8;70;30
Uzbekistan;109;56.5;30.9;13.0;24.9;92.8;74.9;85.3;58.9;48.1;63.4;76.0;60;50
Vanuatu;70;62.1;60.3;72.2;45.5;98.0;45.5;95.4;49.8;40.1;73.8;59.7;65;40
Venezuela;174;25.8;0.0;3.4;6.5;74.8;95.0;12.0;30.8;34.3;0.0;42.3;0;10
Vietnam;72;61.8;48.7;35.1;36.4;78.6;86.5;88.7;73.4;54.1;70.5;79.4;40;50
Zambia;158;47.8;36.0;44.4;29.9;74.8;69.6;0.0;43.9;42.1;62.2;65.2;55;50
Zimbabwe;172;39.0;20.0;15.8;20.0;65.8;92.6;89.9;39.8;35.4;0.0;54.0;25;10
